name,T,ra,dec,Dh,Dhe,rh,rhe,MV,MVe,RV_h,RVe,ref
SextansA,g,152.7533,-4.6928,1432.19,52.76,2.47,-,-14.28,0.13,324.0,2.0,McConnachie2012
HIZSS3(A),g,105.1221,-4.2083,1674.94,107.99,-,-,-,-,288.0,2.5,McConnachie2012
HIZSS3B,g,105.1221,-4.2083,1674.94,107.99,-,-,-,-,322.6,1.4,McConnachie2012
LeoP,g,155.4379,18.0881,1621.81,149.37,-,-,-10.05,0.2,264.0,2.0,McConnachie2012
ESO410-G005,g,3.8817,-32.18,1923.09,35.42,0.5,0.05,-11.52,0.3,-,9.9,McConnachie2012
KKR25,g,243.45,54.3711,1923.09,61.99,0.47,0.03,-10.92,0.21,-65.0,15.0,McConnachie2012
NGC55,g,3.7233,-39.1967,1931.97,106.76,5.16,-,-18.53,0.16,129.0,2.0,McConnachie2012
ESO294-G010,g,6.6392,-41.8553,2032.36,37.44,0.42,0.04,-11.24,0.3,117.0,5.0,McConnachie2012
NGC300,g,13.7229,-37.6844,2079.7,57.46,5.0,-,-18.49,0.12,146.0,2.0,McConnachie2012
IC5152,g,330.6729,-51.2964,1949.84,44.9,0.97,-,-15.55,-,122.0,2.0,McConnachie2012
KKH98,g,356.3917,38.7178,2523.48,104.59,0.64,0.06,-11.81,0.31,-136.9,1.0,McConnachie2012
UKS2323-326,g,351.6146,-32.3889,2208.0,91.51,0.9,0.1,-13.22,0.22,62.0,5.0,McConnachie2012
KK258,g,340.1829,-30.7997,2344.23,75.57,-,-,-10.55,-,92.0,5.0,McConnachie2012
KKR3,g,211.7938,35.0603,2187.76,120.9,0.36,0.04,-9.5,0.32,63.3,1.8,McConnachie2012
KKs3,g,36.185,-73.5142,2118.36,68.29,0.57,0.06,-12.13,0.12,316.0,7.0,McConnachie2012
GR8,g,194.6683,14.2175,2177.71,120.34,0.32,0.04,-12.19,0.23,213.9,2.5,McConnachie2012
UGC9128,g,213.9854,23.0553,2290.87,42.2,0.64,0.07,-12.4,0.3,152.0,1.0,McConnachie2012
UGC8508,g,202.685,54.91,2582.26,35.68,0.42,0.04,-13.36,0.1,56.0,5.0,McConnachie2012
IC3104,g,184.6917,-79.7261,2269.86,188.16,2.01,-,-13.98,-,429.0,4.0,McConnachie2012
DDO125,g,186.9204,43.4956,2582.26,59.46,1.04,0.1,-14.36,0.3,194.9,0.2,McConnachie2012
UGCA86,g,59.9512,67.1386,2964.83,232.11,0.94,-,-13.16,-,67.0,4.0,McConnachie2012
DDO99,g,177.7208,38.8803,2594.18,167.25,0.9,0.09,-13.17,0.17,251.0,4.0,McConnachie2012
IC4662,g,266.7867,-64.6417,2443.43,191.29,0.48,0.05,-15.84,0.34,302.0,3.0,McConnachie2012
DDO190,g,216.1808,44.5258,2792.54,38.58,0.64,0.06,-14.43,0.1,150.0,4.0,McConnachie2012
KKH86,g,208.6396,4.2431,2582.26,190.27,0.28,0.03,-9.96,0.34,287.2,0.7,McConnachie2012
NGC4163,g,183.0379,36.1692,2857.59,39.48,0.45,0.05,-14.08,0.3,165.0,5.0,McConnachie2012
DDO113,g,183.7412,36.2189,2951.21,81.54,0.7,0.07,-10.95,0.31,284.0,6.0,McConnachie2012
NGC104,c,6.0236,-72.0813,4.5,-,3.17,-,-9.42,-,-18.0,0.1,Harris2010
NGC288,c,13.1885,-26.5826,8.9,-,2.23,-,-6.75,-,-45.4,0.2,Harris2010
NGC362,c,15.8094,-70.8488,8.6,-,0.82,-,-8.43,-,223.5,0.5,Harris2010
Whiting1,c,30.7375,-3.2528,30.1,-,0.22,-,-2.46,-,-130.6,1.8,Harris2010
NGC1261,c,48.0675,-55.2162,16.3,-,0.68,-,-7.8,-,68.2,4.6,Harris2010
Pal1,c,53.3335,79.5811,11.1,-,0.46,-,-2.52,-,-82.8,3.3,Harris2010
AM1,c,58.7596,-49.6153,123.3,-,0.41,-,-4.73,-,116.0,20.0,Harris2010
Eridanus,c,66.1854,-21.1869,90.1,-,0.46,-,-5.13,-,-23.6,2.1,Harris2010
Pal2,c,71.5246,31.3815,27.2,-,0.5,-,-7.97,-,-133.0,57.0,Harris2010
NGC1851,c,78.5282,-40.0466,12.1,-,0.51,-,-8.33,-,320.5,0.6,Harris2010
NGC1904,c,81.0462,-24.5247,12.9,-,0.65,-,-7.86,-,205.8,0.4,Harris2010
NGC2298,c,102.2475,-36.0053,10.8,-,0.98,-,-6.31,-,148.9,1.2,Harris2010
NGC2419,c,114.5353,38.8824,82.6,-,0.89,-,-9.42,-,-20.2,0.5,Harris2010
Ko2,c,119.5708,26.255,34.7,-,0.21,-,-0.35,-,-,-,Harris2010
Pyxis,c,136.9908,-37.2214,39.4,-,-,-,-5.73,-,34.3,1.9,Harris2010
NGC2808,c,138.0129,-64.8635,9.6,-,0.8,-,-9.39,-,101.6,0.7,Harris2010
E3,c,140.2378,-77.2819,8.1,-,2.1,-,-4.12,-,-,-,Harris2010
Pal3,c,151.3829,0.0717,92.5,-,0.65,-,-5.69,-,83.4,8.4,Harris2010
NGC3201,c,154.4034,-46.4125,4.9,-,3.1,-,-7.45,-,494.0,0.2,Harris2010
Pal4,c,172.32,28.9736,108.7,-,0.51,-,-6.01,-,74.5,2.1,Harris2010
Ko1,c,179.8271,12.26,48.3,-,0.26,-,-1.35,-,-,-,Harris2010
